ProductID,ProductName,CategoryID,Price,Stock
1,Water Rate,7,872.83,28
2,Realize Spring,9,1216.77,81
3,Letter Cold,7,786.18,63
4,Center Season,4,765.53,358
5,Response Use,4,1085.35,428
6,Especially Dog,6,1137.4,287
7,Notice Which,10,966.66,484
8,Seem Fine,5,883.93,214
9,Stage Ever,10,1653.13,492
10,Level Market,8,569.66,368
11,Actually Heart,1,875.57,434
12,Benefit Friend,5,1222.64,142
13,Option Until,6,69.61,449
14,All Area,9,61.28,114
15,Stay Hit,6,824.83,39
16,Do Real,6,261.79,259
17,Sign Purpose,8,56.29,393
18,Consumer Win,6,1712.9,207
19,Several Job,9,547.29,41
20,After Office,7,1057.66,392
21,Spring First,6,1399.43,36
22,Everybody Add,6,1077.72,341
23,Trip Specific,10,863.31,72
24,Radio If,10,394.57,372
25,Fine Could,7,1240.46,280
26,Never Evidence,4,1282.47,141
27,Strategy Write,5,306.32,200
28,Still Ok,1,1881.45,115
29,Southern Cold,6,1880.62,201
30,Question That,4,396.07,209
31,Full Those,4,1390.38,48
32,Rate Serve,6,1950.7,407
33,Bring Form,1,1947.05,345
34,Certainly Bit,3,152.68,111
35,Position Little,7,615.55,259
36,Late Drug,9,865.63,213
37,Keep Them,6,1927.45,446
38,Wish Not,10,987.1,215
39,Serious Short,10,726.1,417
40,Long Tell,4,355.64,263
41,Ground Girl,10,1498.11,15
42,Much Million,5,1155.14,9
43,Century Happen,6,1888.06,199
44,Half See,6,280.44,130
45,Law Break,7,1244.19,472
46,Soon Receive,2,1693.84,465
47,At Environmental,10,1812.24,107
48,Water Usually,5,1315.3,23
49,Manage World,9,964.17,296
50,Our Stock,4,1113.68,230
51,Difference Candidate,1,1404.4,342
52,Nothing Magazine,5,1982.34,40
53,Professor Manager,1,255.2,174
54,Night Decide,6,594.71,450
55,Cultural Property,4,1333.6,356
56,Important Interesting,1,520.17,156
57,Final Property,3,681.35,465
58,Tell Simple,4,1221.0,25
59,Executive Partner,5,1212.06,383
60,Miss Top,7,610.17,2
61,National Against,8,922.54,278
62,Draw Unit,5,1660.2,66
63,Dark Question,8,611.61,131
64,Son Whether,6,15.46,240
65,Game Ever,4,723.54,301
66,Spring Hope,2,1860.41,41
67,Cold Religious,10,830.8,259
68,Since Black,10,38.73,467
69,Much Others,8,1955.63,418
70,Although Citizen,8,223.64,35
71,Quickly Outside,6,1507.07,138
72,Oil View,2,1430.59,200
73,Be Special,6,664.16,449
74,If Account,4,505.35,409
75,Protect Experience,7,371.07,6
76,Task Best,7,1404.7,351
77,Respond Open,3,1354.45,135
78,Stop Claim,9,1322.02,14
79,Contain Also,4,905.27,391
80,Wish Thought,4,412.89,342
81,Author Economy,6,1979.29,306
82,Strong Able,4,1923.55,66
83,Night Window,2,362.35,415
84,Garden Success,9,38.32,105
85,Respond Through,8,1571.61,36
86,Site He,7,1233.69,368
87,Partner Relationship,3,1625.67,381
88,Billion Green,2,1081.17,430
89,Happen Season,1,841.09,444
90,Quickly Difference,9,642.74,389
91,Computer Suddenly,3,487.36,404
92,Significant Personal,7,1760.07,8
93,Together Tell,8,793.31,495
94,Age Join,6,1227.26,360
